Element,Symbol,AtomicNumber,AtomicMass,MeltingPoint_Celsius,BoilingPoint_Celsius,Type
Hydrogen,H,1,1.008,-259.16,-252.87,Nonmetal
Helium,He,2,4.003,-272.2,-268.93,Noble Gas
Lithium,Li,3,6.94,180.54,1342,Alkali Metal
Beryllium,Be,4,9.012,1287,2470,Alkaline Earth Metal
Boron,B,5,10.81,2075,4000,Metalloid
Carbon,C,6,12.01,3550,4027,Nonmetal
Nitrogen,N,7,14.01,-210.1,-195.79,Nonmetal
Oxygen,O,8,16.00,-218.79,-182.96,Nonmetal
Fluorine,F,9,19.00,-219.67,-188.12,Halogen
Neon,Ne,10,20.18,-248.59,-246.08,Noble Gas
Sodium,Na,11,22.99,97.72,883,Alkali Metal
Magnesium,Mg,12,24.31,650,1090,Alkaline Earth Metal
Aluminum,Al,13,26.98,660.32,2519,Post-transition Metal
Silicon,Si,14,28.09,1414,3265,Metalloid
Phosphorus,P,15,30.97,44.15,280.5,Nonmetal
Sulfur,S,16,32.07,115.21,444.72,Nonmetal
Chlorine,Cl,17,35.45,-101.5,-34.04,Halogen
Argon,Ar,18,39.95,-189.35,-185.85,Noble Gas
Potassium,K,19,39.10,63.38,759,Alkali Metal
Calcium,Ca,20,40.08,841.9,1484,Alkaline Earth Metal
Scandium,Sc,21,44.96,1541,2830,Transition Metal
Titanium,Ti,22,47.87,1668,3287,Transition Metal
Vanadium,V,23,50.94,1910,3407,Transition Metal
Chromium,Cr,24,52.00,1907,2671,Transition Metal
Manganese,Mn,25,54.94,1246,2061,Transition Metal
Iron,Fe,26,55.85,1538,2862,Transition Metal
Cobalt,Co,27,58.93,1495,2927,Transition Metal
Nickel,Ni,28,58.69,1455,2913,Transition Metal
Copper,Cu,29,63.55,1084.62,2562,Transition Metal
Zinc,Zn,30,65.38,419.53,907,Transition Metal
Gallium,Ga,31,69.72,29.76,2204,Post-transition Metal
Germanium,Ge,32,72.63,938.25,2820,Metalloid
Arsenic,As,33,74.92,817,614,Metalloid
Selenium,Se,34,78.96,221,685,Nonmetal
Bromine,Br,35,79.90,-7.2,58.8,Halogen
Krypton,Kr,36,83.80,-157.36,-153.22,Noble Gas
Rubidium,Rb,37,85.47,39.31,688,Alkali Metal
Strontium,Sr,38,87.62,777,1382,Alkaline Earth Metal
Yttrium,Y,39,88.91,1522,3345,Transition Metal
Zirconium,Zr,40,91.22,1855,4409,Transition Metal
Niobium,Nb,41,92.91,2477,4744,Transition Metal
Molybdenum,Mo,42,95.95,2623,4639,Transition Metal
Technetium,Tc,43,98.00,2157,4265,Transition Metal
Ruthenium,Ru,44,101.07,2334,4150,Transition Metal
Rhodium,Rh,45,102.91,1964,3695,Transition Metal
Palladium,Pd,46,106.42,1554.9,2963,Transition Metal
Silver,Ag,47,107.87,961.78,2162,Transition Metal
Cadmium,Cd,48,112.41,321.07,767,Transition Metal
Indium,In,49,114.82,156.6,2072,Post-transition Metal
Tin,Sn,50,118.71,231.93,2602,Post-transition Metal
Antimony,Sb,51,121.76,630.63,1587,Metalloid
Tellurium,Te,52,127.60,449.51,988,Metalloid
Iodine,I,53,126.90,113.7,184.3,Halogen
Xenon,Xe,54,131.29,-111.75,-108.12,Noble Gas
Cesium,Cs,55,132.91,28.44,671,Alkali Metal
Barium,Ba,56,137.33,727,1897,Alkaline Earth Metal
Lanthanum,La,57,138.91,920,3464,Lanthanide
Cerium,Ce,58,140.12,798,3360,Lanthanide
Praseodymium,Pr,59,140.91,931,3290,Lanthanide
Neodymium,Nd,60,144.24,1021,3100,Lanthanide
Promethium,Pm,61,145.00,1042,3000,Lanthanide
Samarium,Sm,62,150.36,1074,1794,Lanthanide
Europium,Eu,63,151.96,822,1527,Lanthanide
Gadolinium,Gd,64,157.25,1313,3273,Lanthanide
Terbium,Tb,65,158.93,1356,3230,Lanthanide
